algoritmo,tipo,dominio,n,memoria_prom_MB,memoria_std_MB,n_muestras
naive,densa,D0,16,0.0014,0.0000,3
naive,densa,D0,64,0.0173,0.0000,3
naive,densa,D0,256,0.2568,0.0000,3
naive,densa,D10,16,0.0014,0.0000,3
naive,densa,D10,64,0.0173,0.0000,3
naive,densa,D10,256,0.2568,0.0000,3
naive,diagonal,D0,16,0.0014,0.0000,3
naive,diagonal,D0,64,0.0173,0.0000,3
naive,diagonal,D0,256,0.2568,0.0000,3
naive,diagonal,D10,16,0.0014,0.0000,3
naive,diagonal,D10,64,0.0173,0.0000,3
naive,diagonal,D10,256,0.2568,0.0000,3
naive,dispersa,D0,16,0.0014,0.0000,3
naive,dispersa,D0,64,0.0173,0.0000,3
naive,dispersa,D0,256,0.2568,0.0000,3
naive,dispersa,D10,16,0.0014,0.0000,3
naive,dispersa,D10,64,0.0173,0.0000,3
naive,dispersa,D10,256,0.2568,0.0000,3
strassen,densa,D0,16,0.0128,0.0000,3
strassen,densa,D0,64,0.1302,0.0000,3
strassen,densa,D0,256,1.7718,0.0000,3
strassen,densa,D10,16,0.0128,0.0000,3
strassen,densa,D10,64,0.1302,0.0000,3
strassen,densa,D10,256,1.7718,0.0000,3
strassen,diagonal,D0,16,0.0128,0.0000,3
strassen,diagonal,D0,64,0.1302,0.0000,3
strassen,diagonal,D0,256,1.7718,0.0000,3
strassen,diagonal,D10,16,0.0128,0.0000,3
strassen,diagonal,D10,64,0.1302,0.0000,3
strassen,diagonal,D10,256,1.7718,0.0000,3
strassen,dispersa,D0,16,0.0128,0.0000,3
strassen,dispersa,D0,64,0.1302,0.0000,3
strassen,dispersa,D0,256,1.7718,0.0000,3
strassen,dispersa,D10,16,0.0128,0.0000,3
strassen,dispersa,D10,64,0.1302,0.0000,3
strassen,dispersa,D10,256,1.7718,0.0000,3
