algoritmo,tipo,dominio,n,tiempo_prom_s,tiempo_std_s,n_muestras
naive,densa,D0,16,0.000010,0.000002,3
naive,densa,D0,64,0.000213,0.000014,3
naive,densa,D0,256,0.013539,0.000617,3
naive,densa,D10,16,0.000008,0.000001,3
naive,densa,D10,64,0.000186,0.000022,3
naive,densa,D10,256,0.011663,0.001609,3
naive,diagonal,D0,16,0.000009,0.000003,3
naive,diagonal,D0,64,0.000183,0.000020,3
naive,diagonal,D0,256,0.011890,0.000572,3
naive,diagonal,D10,16,0.000007,0.000000,3
naive,diagonal,D10,64,0.000231,0.000043,3
naive,diagonal,D10,256,0.010748,0.000222,3
naive,dispersa,D0,16,0.000009,0.000000,3
naive,dispersa,D0,64,0.000213,0.000010,3
naive,dispersa,D0,256,0.011661,0.001480,3
naive,dispersa,D10,16,0.000011,0.000002,3
naive,dispersa,D10,64,0.000191,0.000005,3
naive,dispersa,D10,256,0.012078,0.001711,3
strassen,densa,D0,16,0.002042,0.000435,3
strassen,densa,D0,64,0.070740,0.002550,3
strassen,densa,D0,256,4.929096,0.195420,3
strassen,densa,D10,16,0.002089,0.000278,3
strassen,densa,D10,64,0.068391,0.002034,3
strassen,densa,D10,256,4.944655,0.180266,3
strassen,diagonal,D0,16,0.002124,0.000534,3
strassen,diagonal,D0,64,0.079137,0.013155,3
strassen,diagonal,D0,256,4.647999,0.261266,3
strassen,diagonal,D10,16,0.001629,0.000002,3
strassen,diagonal,D10,64,0.071221,0.003265,3
strassen,diagonal,D10,256,4.411628,0.072922,3
strassen,dispersa,D0,16,0.002117,0.000064,3
strassen,dispersa,D0,64,0.067720,0.002497,3
strassen,dispersa,D0,256,4.565769,0.063944,3
strassen,dispersa,D10,16,0.002573,0.000253,3
strassen,dispersa,D10,64,0.069419,0.000462,3
strassen,dispersa,D10,256,4.073234,0.405628,3
