algoritmo,tipo,dominio,n,memoria_prom_MB,memoria_std_MB,n_muestras
mergesort,aleatorio,D1,10,0.0001,0.0000,3
mergesort,aleatorio,D1,1000,0.0076,0.0000,3
mergesort,aleatorio,D1,100000,0.7629,0.0000,3
mergesort,aleatorio,D1,10000000,76.2939,0.0000,3
mergesort,aleatorio,D7,10,0.0001,0.0000,3
mergesort,aleatorio,D7,1000,0.0076,0.0000,3
mergesort,aleatorio,D7,100000,0.7629,0.0000,3
mergesort,aleatorio,D7,10000000,76.2939,0.0000,3
mergesort,ascendente,D1,10,0.0001,0.0000,3
mergesort,ascendente,D1,1000,0.0076,0.0000,3
mergesort,ascendente,D1,100000,0.7629,0.0000,3
mergesort,ascendente,D1,10000000,76.2939,0.0000,3
mergesort,ascendente,D7,10,0.0001,0.0000,3
mergesort,ascendente,D7,1000,0.0076,0.0000,3
mergesort,ascendente,D7,100000,0.7629,0.0000,3
mergesort,ascendente,D7,10000000,76.2939,0.0000,3
mergesort,descendente,D1,10,0.0001,0.0000,3
mergesort,descendente,D1,1000,0.0076,0.0000,3
mergesort,descendente,D1,100000,0.7629,0.0000,3
mergesort,descendente,D1,10000000,76.2939,0.0000,3
mergesort,descendente,D7,10,0.0001,0.0000,3
mergesort,descendente,D7,1000,0.0076,0.0000,3
mergesort,descendente,D7,100000,0.7629,0.0000,3
mergesort,descendente,D7,10000000,76.2939,0.0000,3
patiencesort,aleatorio,D1,10,0.0005,0.0000,3
patiencesort,aleatorio,D1,1000,0.0486,0.0000,3
patiencesort,aleatorio,D1,100000,6.0129,0.0000,3
patiencesort,aleatorio,D1,10000000,748.2939,0.0000,3
patiencesort,aleatorio,D7,10,0.0005,0.0000,3
patiencesort,aleatorio,D7,1000,0.0486,0.0000,3
patiencesort,aleatorio,D7,100000,6.0129,0.0000,3
patiencesort,aleatorio,D7,10000000,748.2939,0.0000,3
patiencesort,ascendente,D1,10,0.0005,0.0000,3
patiencesort,ascendente,D1,1000,0.0486,0.0000,3
patiencesort,ascendente,D1,100000,6.0129,0.0000,3
patiencesort,ascendente,D1,10000000,748.2939,0.0000,3
patiencesort,ascendente,D7,10,0.0005,0.0000,3
patiencesort,ascendente,D7,1000,0.0486,0.0000,3
patiencesort,ascendente,D7,100000,6.0129,0.0000,3
patiencesort,ascendente,D7,10000000,748.2939,0.0000,3
patiencesort,descendente,D1,10,0.0005,0.0000,3
patiencesort,descendente,D1,1000,0.0486,0.0000,3
patiencesort,descendente,D1,100000,6.0129,0.0000,3
patiencesort,descendente,D1,10000000,748.2939,0.0000,3
patiencesort,descendente,D7,10,0.0005,0.0000,3
patiencesort,descendente,D7,1000,0.0486,0.0000,3
patiencesort,descendente,D7,100000,6.0129,0.0000,3
patiencesort,descendente,D7,10000000,748.2939,0.0000,3
quicksort,aleatorio,D1,10,0.0000,0.0000,3
quicksort,aleatorio,D1,1000,0.0038,0.0000,3
quicksort,aleatorio,D1,100000,0.3815,0.0000,3
quicksort,aleatorio,D1,10000000,38.1470,0.0000,3
quicksort,aleatorio,D7,10,0.0000,0.0000,3
quicksort,aleatorio,D7,1000,0.0038,0.0000,3
quicksort,aleatorio,D7,100000,0.3815,0.0000,3
quicksort,aleatorio,D7,10000000,38.1470,0.0000,3
quicksort,ascendente,D1,10,0.0000,0.0000,3
quicksort,ascendente,D1,1000,0.0038,0.0000,3
quicksort,ascendente,D1,100000,0.3815,0.0000,3
quicksort,ascendente,D1,10000000,38.1470,0.0000,3
quicksort,ascendente,D7,10,0.0000,0.0000,3
quicksort,ascendente,D7,1000,0.0038,0.0000,3
quicksort,ascendente,D7,100000,0.3815,0.0000,3
quicksort,ascendente,D7,10000000,38.1470,0.0000,3
quicksort,descendente,D1,10,0.0000,0.0000,3
quicksort,descendente,D1,1000,0.0038,0.0000,3
quicksort,descendente,D1,100000,0.3815,0.0000,3
quicksort,descendente,D1,10000000,38.1470,0.0000,3
quicksort,descendente,D7,10,0.0000,0.0000,3
quicksort,descendente,D7,1000,0.0038,0.0000,3
quicksort,descendente,D7,100000,0.3815,0.0000,3
quicksort,descendente,D7,10000000,38.1470,0.0000,3
sort,aleatorio,D1,10,0.0000,0.0000,3
sort,aleatorio,D1,1000,0.0038,0.0000,3
sort,aleatorio,D1,100000,0.3815,0.0000,3
sort,aleatorio,D1,10000000,38.1470,0.0000,3
sort,aleatorio,D7,10,0.0000,0.0000,3
sort,aleatorio,D7,1000,0.0038,0.0000,3
sort,aleatorio,D7,100000,0.3815,0.0000,3
sort,aleatorio,D7,10000000,38.1470,0.0000,3
sort,ascendente,D1,10,0.0000,0.0000,3
sort,ascendente,D1,1000,0.0038,0.0000,3
sort,ascendente,D1,100000,0.3815,0.0000,3
sort,ascendente,D1,10000000,38.1470,0.0000,3
sort,ascendente,D7,10,0.0000,0.0000,3
sort,ascendente,D7,1000,0.0038,0.0000,3
sort,ascendente,D7,100000,0.3815,0.0000,3
sort,ascendente,D7,10000000,38.1470,0.0000,3
sort,descendente,D1,10,0.0000,0.0000,3
sort,descendente,D1,1000,0.0038,0.0000,3
sort,descendente,D1,100000,0.3815,0.0000,3
sort,descendente,D1,10000000,38.1470,0.0000,3
sort,descendente,D7,10,0.0000,0.0000,3
sort,descendente,D7,1000,0.0038,0.0000,3
sort,descendente,D7,100000,0.3815,0.0000,3
sort,descendente,D7,10000000,38.1470,0.0000,3
