algoritmo,tipo,dominio,n,tiempo_prom_s,tiempo_std_s,n_muestras
mergesort,aleatorio,D1,10,0.000006,0.000001,3
mergesort,aleatorio,D1,1000,0.000146,0.000030,3
mergesort,aleatorio,D1,100000,0.011198,0.001735,3
mergesort,aleatorio,D1,10000000,1.085426,0.097022,3
mergesort,aleatorio,D7,10,0.000005,0.000000,3
mergesort,aleatorio,D7,1000,0.000150,0.000035,3
mergesort,aleatorio,D7,100000,0.009879,0.002024,3
mergesort,aleatorio,D7,10000000,1.186114,0.068994,3
mergesort,ascendente,D1,10,0.000004,0.000000,3
mergesort,ascendente,D1,1000,0.000156,0.000039,3
mergesort,ascendente,D1,100000,0.010422,0.002191,3
mergesort,ascendente,D1,10000000,1.199450,0.037713,3
mergesort,ascendente,D7,10,0.000002,0.000000,3
mergesort,ascendente,D7,1000,0.000116,0.000028,3
mergesort,ascendente,D7,100000,0.010051,0.002003,3
mergesort,ascendente,D7,10000000,1.207747,0.040885,3
mergesort,descendente,D1,10,0.000005,0.000000,3
mergesort,descendente,D1,1000,0.000158,0.000024,3
mergesort,descendente,D1,100000,0.009353,0.001787,3
mergesort,descendente,D1,10000000,1.034984,0.110390,3
mergesort,descendente,D7,10,0.000004,0.000000,3
mergesort,descendente,D7,1000,0.000156,0.000012,3
mergesort,descendente,D7,100000,0.010292,0.001053,3
mergesort,descendente,D7,10000000,1.126166,0.033470,3
patiencesort,aleatorio,D1,10,0.000008,0.000000,3
patiencesort,aleatorio,D1,1000,0.000145,0.000010,3
patiencesort,aleatorio,D1,100000,0.015819,0.003316,3
patiencesort,aleatorio,D1,10000000,1.816579,0.140573,3
patiencesort,aleatorio,D7,10,0.000009,0.000003,3
patiencesort,aleatorio,D7,1000,0.000153,0.000008,3
patiencesort,aleatorio,D7,100000,0.012093,0.001943,3
patiencesort,aleatorio,D7,10000000,1.892023,0.151743,3
patiencesort,ascendente,D1,10,0.000009,0.000001,3
patiencesort,ascendente,D1,1000,0.000145,0.000050,3
patiencesort,ascendente,D1,100000,0.012175,0.001994,3
patiencesort,ascendente,D1,10000000,1.845778,0.162120,3
patiencesort,ascendente,D7,10,0.000004,0.000000,3
patiencesort,ascendente,D7,1000,0.000158,0.000027,3
patiencesort,ascendente,D7,100000,0.011439,0.000804,3
patiencesort,ascendente,D7,10000000,2.078524,0.154544,3
patiencesort,descendente,D1,10,0.000008,0.000001,3
patiencesort,descendente,D1,1000,0.000244,0.000125,3
patiencesort,descendente,D1,100000,0.011334,0.000111,3
patiencesort,descendente,D1,10000000,1.556268,0.057621,3
patiencesort,descendente,D7,10,0.000010,0.000001,3
patiencesort,descendente,D7,1000,0.000187,0.000002,3
patiencesort,descendente,D7,100000,0.015281,0.002692,3
patiencesort,descendente,D7,10000000,1.778126,0.017044,3
quicksort,aleatorio,D1,10,0.000001,0.000000,3
quicksort,aleatorio,D1,1000,0.000007,0.000002,3
quicksort,aleatorio,D1,100000,0.000452,0.000132,3
quicksort,aleatorio,D1,10000000,0.037822,0.003927,3
quicksort,aleatorio,D7,10,0.000000,0.000000,3
quicksort,aleatorio,D7,1000,0.000043,0.000012,3
quicksort,aleatorio,D7,100000,0.019374,0.003634,3
quicksort,aleatorio,D7,10000000,15.376651,0.249557,3
quicksort,ascendente,D1,10,0.000000,0.000000,3
quicksort,ascendente,D1,1000,0.000007,0.000001,3
quicksort,ascendente,D1,100000,0.000293,0.000033,3
quicksort,ascendente,D1,10000000,0.049257,0.014048,3
quicksort,ascendente,D7,10,0.000000,0.000000,3
quicksort,ascendente,D7,1000,0.000034,0.000008,3
quicksort,ascendente,D7,100000,0.018154,0.002791,3
quicksort,ascendente,D7,10000000,16.662405,0.962982,3
quicksort,descendente,D1,10,0.000000,0.000000,3
quicksort,descendente,D1,1000,0.000006,0.000001,3
quicksort,descendente,D1,100000,0.000294,0.000051,3
quicksort,descendente,D1,10000000,0.036126,0.004227,3
quicksort,descendente,D7,10,0.000001,0.000000,3
quicksort,descendente,D7,1000,0.000036,0.000001,3
quicksort,descendente,D7,100000,0.017289,0.003134,3
quicksort,descendente,D7,10000000,15.956121,1.033030,3
sort,aleatorio,D1,10,0.000001,0.000000,3
sort,aleatorio,D1,1000,0.000019,0.000003,3
sort,aleatorio,D1,100000,0.001729,0.000203,3
sort,aleatorio,D1,10000000,0.191837,0.019202,3
sort,aleatorio,D7,10,0.000001,0.000000,3
sort,aleatorio,D7,1000,0.000032,0.000002,3
sort,aleatorio,D7,100000,0.004720,0.000063,3
sort,aleatorio,D7,10000000,0.619017,0.012062,3
sort,ascendente,D1,10,0.000000,0.000000,3
sort,ascendente,D1,1000,0.000009,0.000001,3
sort,ascendente,D1,100000,0.000807,0.000049,3
sort,ascendente,D1,10000000,0.106727,0.008874,3
sort,ascendente,D7,10,0.000000,0.000000,3
sort,ascendente,D7,1000,0.000010,0.000001,3
sort,ascendente,D7,100000,0.001047,0.000305,3
sort,ascendente,D7,10000000,0.138978,0.016399,3
sort,descendente,D1,10,0.000001,0.000000,3
sort,descendente,D1,1000,0.000008,0.000001,3
sort,descendente,D1,100000,0.000742,0.000178,3
sort,descendente,D1,10000000,0.083988,0.009443,3
sort,descendente,D7,10,0.000001,0.000000,3
sort,descendente,D7,1000,0.000007,0.000000,3
sort,descendente,D7,100000,0.000719,0.000214,3
sort,descendente,D7,10000000,0.119005,0.011296,3
